55255
4
engrpm,800,1800,100,10;EGRkgph,0,200,20,11;MSPhum,40,80,4,12;EngTq,0,1400,140,13
Iteration,Year,Month,Day,Latitude,Longitude,RelativeError,NOxTheoryppm,AbsError,pass,engrpm,EGRkgph,MSPhum,EngTq
3522059020,2015,8,10,44.9463,-93.0994,4.14859,428.914,75.846,1,2,2,6,3
3522059021,2015,8,10,44.9463,-93.0995,3.00243,327.599,7.12312,1,2,4,6,1
3522059022,2015,8,10,44.9463,-93.0996,6.51923,247.038,14.7994,1,2,4,6,0
3522059070,2015,8,10,44.9464,-93.1002,62.9508,555.159,372.235,1,2,0,6,5
3522059071,2015,8,10,44.9464,-93.1002,12.9705,562.333,137.754,1,4,1,6,5
3522059072,2015,8,10,44.9464,-93.1003,2.25121,664.297,207.451,1,3,3,6,6
3522059073,2015,8,10,44.9464,-93.1003,2.74149,598.555,141.523,1,6,4,6,7
3522059074,2015,8,10,44.9464,-93.1003,8.98769,663.021,270.326,1,7,8,6,7
3522059075,2015,8,10,44.9464,-93.1004,31.4587,728.83,437.026,1,3,4,6,9
3522059076,2015,8,10,44.9464,-93.1005,12.3491,644.841,198.282,1,3,4,6,7
3522059077,2015,8,10,44.9464,-93.1005,17.1345,661.86,161.021,1,3,4,6,6
3522059078,2015,8,10,44.9464,-93.1006,35.6953,603.425,103.788,1,3,3,6,5
3522059079,2015,8,10,44.9464,-93.1007,32.1853,403.273,210.227,1,3,3,6,3
3522059080,2015,8,10,44.9464,-93.1008,25.5594,254.249,1.41599,1,4,2,6,0
3522059081,2015,8,10,44.9464,-93.101,12.2415,96.3111,90.9403,1,3,1,6,0
3522059113,2015,8,10,44.9465,-93.1021,31.1195,577.558,402.519,1,0,4,6,4
3522059114,2015,8,10,44.9465,-93.1021,16.3698,637.566,361.607,1,3,1,6,5
3522059115,2015,8,10,44.9465,-93.1021,13.9261,662.344,127.133,1,3,2,6,4
3522059117,2015,8,10,44.9466,-93.1021,242.114,237.984,131.928,1,0,3,6,1
3522059118,2015,8,10,44.9466,-93.1022,106.085,501.929,301.568,1,3,1,6,3
3522059119,2015,8,10,44.9466,-93.1022,2.99955,533.814,78.5104,1,5,2,6,6
3522059120,2015,8,10,44.9466,-93.1022,8.1446,493.703,58.3385,1,6,4,6,7
3522059121,2015,8,10,44.9466,-93.1023,4.17113,541.494,132.299,1,6,4,6,8
3522059122,2015,8,10,44.9466,-93.1023,18.101,755.989,376.839,1,4,3,6,9
3522059123,2015,8,10,44.9465,-93.1024,22.3006,694.492,138.86,1,4,5,6,6
3522059124,2015,8,10,44.9465,-93.1025,2.27785,654.31,166.613,1,3,2,6,4
3522059125,2015,8,10,44.9465,-93.1026,7.82289,388.573,18.9298,1,2,3,6,2
3522059126,2015,8,10,44.9464,-93.1027,20.3341,330.805,51.4218,1,3,4,6,1
3522059127,2015,8,10,44.9464,-93.1027,27.9833,318.435,138.89,1,7,3,6,4
3522059128,2015,8,10,44.9463,-93.1028,31.1368,384.603,241.303,1,7,4,6,4
3522059129,2015,8,10,44.9463,-93.1029,29.3392,453.123,153.358,1,7,8,6,5
3522059130,2015,8,10,44.9462,-93.103,13.857,410.548,136.094,1,5,1,6,3
3522059131,2015,8,10,44.9462,-93.103,7.28951,247.931,8.16423,1,4,0,6,0
3522059141,2015,8,10,44.9457,-93.1037,123.697,629.717,501.83,1,2,3,6,5
3522059142,2015,8,10,44.9456,-93.1037,15.345,197.367,145.994,1,0,0,6,0
3522059145,2015,8,10,44.9457,-93.1039,35.0149,628.691,355.103,1,2,2,6,4
3522059146,2015,8,10,44.9457,-93.1039,23.5852,574.62,53.5214,1,5,2,6,6
3522059147,2015,8,10,44.9457,-93.1039,18.5769,635.426,180.708,1,6,5,6,7
3522059148,2015,8,10,44.9457,-93.1039,4.66886,639.003,300.403,1,7,10,6,8
3522059149,2015,8,10,44.9458,-93.1039,8.31993,763.423,496.082,1,6,11,6,9
3522059150,2015,8,10,44.9458,-93.1039,5.78957,854.349,542.28,1,3,5,6,8
3522059151,2015,8,10,44.9459,-93.104,40.4718,828.397,138.888,1,2,3,6,9
3522059152,2015,8,10,44.946,-93.104,32.493,740.356,8.46999,1,3,2,6,9
