accelpedalpos:,ExhaustT:,Wheelspeed:,Instfuelecon:,EngTq:,Support,Count,Kvalue,IsOver
10 10 10,3 4 4,.,0 0 0,.,0.004281062829119267,426,2.237357813387188,1
10 10 10,.,2 2 3,0 0 0,.,0.005155364392812638,513,2.2908026459604973,1
10 10 10,4 4 5,.,.,.,0.005044820516943362,502,2.3245510478174745,1
10 10 10,.,2 3 3,.,.,0.005758330988463239,573,2.3203670499299207,1
10 10 10,4 4 5,.,0 0 0,.,0.005034771073682518,501,2.323049639007768,1
10 10 10,.,2 3 3,0 0 0,.,0.005758330988463239,573,2.3203670499299207,1
.,5 5 5,5 5 5,.,.,0.009285685573019255,924,2.339907336020921,0
.,5 5 5,5 5 5,0 0 0,.,0.007225549704546368,719,2.4281083879388525,0
.,5 5 4,.,.,.,0.00599951762672348,597,1.6304332912620698,0
.,5 6 6,.,.,.,0.013526550629095148,1346,2.313713276746434,0
.,5 6 6,.,0 0 0,.,0.012893435703662018,1283,2.3426182433467937,0
.,6 6 6,6 6 6,.,.,0.009607267757366242,956,2.2743797054503085,0
.,6 6 6,6 6 6,0 0 0,.,0.00809985126823974,806,2.322204921609034,0
.,.,6 6 7,.,.,0.007868714073240343,783,2.349684346514741,0
.,.,6 6 7,0 0 0,.,0.007295895807372272,726,2.432435056965835,0
.,.,6 7 7,.,.,0.007275796920850585,724,2.1312586260586683,0
.,.,6 7 7,0 0 0,.,0.0063713470273746835,634,2.2105012692051296,0
.,.,7 7 7,.,.,0.04341359488684327,4320,1.994897072831497,0
.,6 6 6,7 7 7,.,.,0.006381396470635527,635,2.18357993239537,0
.,.,7 7 7,0 0 0,.,0.025646179201672226,2552,2.09882682411541,0
.,6 6 6,7 7 7,0 0 0,.,0.00456244724042288,454,2.2058998596794543,0
.,5 5 5,7 7 7,.,.,0.006039715399766853,601,2.1096976260636997,0
.,4 4 4,7 7 7,.,.,0.0044217550347710735,440,2.029834204171467,0
.,1 1 1,.,.,2 2 2,0.004180568396510834,416,2.9448418348642003,0
.,1 1 1,.,0 0 0,2 2 2,0.0041202717369457735,410,2.967756921826082,0
.,.,.,.,8 8 9,0.004843831651726495,482,2.537208591990511,1
.,.,.,0 0 0,8 8 9,0.004823732765204807,480,2.5375099478603005,1
0 0 0,.,.,.,.,0.09860513727539494,9812,2.00755102701377,0
.,.,0 0 0,.,.,0.09932869719017566,9884,1.999529248113671,0
0 0 0,3 3 3,.,.,.,0.005728182658680709,570,1.1741446783291438,0
0 0 0,.,0 0 0,.,.,0.09771073682517989,9723,2.007835889514656,0
0 0 0,.,.,0 0 0,.,0.0977609840414841,9728,2.0073235736369583,0
.,3 3 3,0 0 0,.,.,0.00608996261607107,606,1.2000828687274274,0
.,.,0 0 0,0 0 0,.,0.09932869719017566,9884,1.999529248113671,0
0 0 0,3 3 3,0 0 0,0 0 0,.,0.005728182658680709,570,1.1741446783291438,0
0 0 0,3 3 3,0 0 0,.,.,0.005728182658680709,570,1.1741446783291438,0
0 0 0,3 3 3,.,0 0 0,.,0.005728182658680709,570,1.1741446783291438,0
0 0 0,.,0 0 0,0 0 0,.,0.09771073682517989,9723,2.007835889514656,0
.,3 3 3,0 0 0,0 0 0,.,0.00608996261607107,606,1.2000828687274274,0
.,.,.,.,8 9 9,0.007406439683241548,737,2.4989312186735653,0
.,.,.,0 0 0,8 9 9,0.007396390239980705,736,2.5009236337132594,1
.,.,.,.,9 9 9,0.011446315874100575,1139,2.458644095316421,1
.,.,.,0 0 0,9 9 9,0.0114061181010572,1135,2.4598270338944768,0
.,.,.,.,9 9 10,0.00411022229368493,409,2.3630522026239382,0
.,.,.,0 0 0,9 9 10,0.00411022229368493,409,2.3630522026239382,0
10 10 10,4 5 5,.,.,.,0.005436748804116252,541,2.4503438127368278,1
10 10 10,4 5 5,.,0 0 0,.,0.005426699360855409,540,2.4515844893179093,1
10 10 10,5 5 5,.,.,.,0.004843831651726495,482,2.4263645816008528,1
10 10 10,.,3 3 4,.,.,0.005537243236724686,551,2.422547109579795,1
10 10 10,5 5 5,.,0 0 0,.,0.004843831651726495,482,2.4263645816008528,1
10 10 10,.,3 3 4,0 0 0,.,0.005527193793463842,550,2.421337563947337,1
10 10 10,.,3 4 4,.,.,0.006984363066286128,695,2.473440956419706,1
10 10 10,.,3 4 4,0 0 0,.,0.006984363066286128,695,2.473440956419706,0
.,.,.,.,9 9 8,0.00404992563411987,403,2.4731002620730917,1
.,.,.,0 0 0,9 9 8,0.004039876190859026,402,2.47483500526793,1
.,6 6 6,5 5 5,.,.,0.004662941673031314,464,2.1478684361021183,0
.,6 6 7,.,.,.,0.008240543473891547,820,2.3152427985365116,0
.,6 6 7,.,0 0 0,.,0.008059653495196367,802,2.3427817872529033,0
.,6 7 7,.,.,.,0.00806970293845721,803,2.327972302469352,1
.,6 7 7,.,0 0 0,.,0.007758170197371066,772,2.3677840724476877,1
10 10 10,.,4 4 5,.,.,0.005617638782811432,559,2.3943430027200887,0
10 10 10,.,.,.,9 9 9,0.007084857498894561,705,2.4490870278569417,1
10 10 10,.,4 4 5,0 0 0,.,0.005607589339550589,558,2.39306216120662,0
10 10 10,.,.,0 0 0,9 9 9,0.007074808055633718,704,2.450019293296679,1
.,2 2 2,0 0 0,.,.,0.01257185351931503,1251,1.4505880651367649,0
.,2 2 2,0 0 0,0 0 0,.,0.01257185351931503,1251,1.4505880651367649,0
10 10 10,.,.,.,8 9 9,0.004522249467379507,450,2.5360022909113633,0
10 10 10,.,.,0 0 0,8 9 9,0.004522249467379507,450,2.5360022909113633,0
.,.,8 8 8,.,.,0.026078305261888493,2595,2.2714972069000323,0
.,.,8 8 8,0 0 0,.,0.013807935040398761,1374,2.505354174416341,1
10 10 10,5 5 6,.,.,.,0.004371507818466857,435,2.3839460842073694,0
10 10 10,5 5 6,.,0 0 0,.,0.004361458375206013,434,2.3853198948224907,0
10 10 10,5 6 6,.,.,.,0.00417051895324999,415,2.325851692279806,0
10 10 10,5 6 6,.,0 0 0,.,0.00417051895324999,415,2.325851692279806,1
.,7 7 7,6 6 6,.,.,0.0056779354423764925,565,2.7516975320770496,0
.,7 7 7,6 6 6,0 0 0,.,0.004974474414117458,495,2.841877406196186,0
10 10 10,6 6 6,.,.,.,0.004371507818466857,435,2.449720166512344,0
10 10 10,6 6 6,.,0 0 0,.,0.004371507818466857,435,2.449720166512344,0
.,7 7 7,7 7 7,.,.,0.00423081561281505,421,2.040506009897783,0
.,.,9 9 9,.,.,0.006753225871286731,672,2.153838512295422,0
10 10 10,.,4 5 5,.,.,0.004361458375206013,434,2.2344263708478707,0
10 10 10,.,4 5 5,0 0 0,.,0.004361458375206013,434,2.238259006132344,0
.,1 1 1,0 0 0,.,.,0.03395706877838968,3379,2.655374525746014,0
.,1 1 1,0 0 0,0 0 0,.,0.03395706877838968,3379,2.655374525746014,0
10 10 10,7 7 7,.,.,.,0.004602645013466254,458,2.56963032694714,1
10 10 10,7 7 7,.,0 0 0,.,0.00459259557020541,457,2.5683277093430767,1
0 0 0,0 0 0,0 0 0,0 0 0,1 1 1,0.03701209952968606,3683,2.076788998687241,1
0 0 0,0 0 0,.,.,.,0.03847931824576918,3829,2.062085989489115,1
0 0 0,.,.,.,1 1 1,0.08531977328456003,8490,1.9481505719392864,1
.,0 0 0,0 0 0,.,.,0.03854966434859509,3836,2.051561591143684,1
.,.,0 0 0,.,1 1 1,0.08530972384129919,8489,1.9481731548412835,0
0 0 0,0 0 0,0 0 0,.,1 1 1,0.03701209952968606,3683,2.076788998687241,1
0 0 0,0 0 0,0 0 0,0 0 0,.,0.03847931824576918,3829,2.062085989489115,1
0 0 0,0 0 0,.,0 0 0,1 1 1,0.03701209952968606,3683,2.076788998687241,0
0 0 0,.,0 0 0,0 0 0,1 1 1,0.08530972384129919,8489,1.9481731548412835,0
.,0 0 0,0 0 0,0 0 0,1 1 1,0.03701209952968606,3683,2.076788998687241,1
0 0 0,0 0 0,0 0 0,.,.,0.03847931824576918,3829,2.062085989489115,1
0 0 0,0 0 0,.,.,1 1 1,0.03701209952968606,3683,2.076788998687241,1
0 0 0,0 0 0,.,0 0 0,.,0.03847931824576918,3829,2.062085989489115,1
0 0 0,.,0 0 0,.,1 1 1,0.08530972384129919,8489,1.9481731548412835,0
0 0 0,.,.,0 0 0,1 1 1,0.08530972384129919,8489,1.9481731548412835,0
